현재EC(dS),현재PH(pH),누적일사(J),J/Day,EC급액,pH급액,내부CO2,습도,평균온도
3.3,3.62,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
3.303333333333333,3.5966666666666667,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
3.303333333333333,3.54,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
3.313333333333333,3.503333333333333,0.0,2043.0,4.564017925205013,5.706702413562118,506.0914861878591,90.7727925072002,21.36924641455903
3.3,3.536666666666666,10.166666666666666,2043.0,4.341541014981646,5.675340740452152,551.5151330950756,88.94370597498369,23.43495979514322
3.1733333333333333,4.25,93.13333333333334,2043.0,4.3557758989741115,5.670971374476006,572.5981211678943,88.5455043905518,25.511261741157035
2.746666666666667,5.013333333333334,255.46666666666667,2043.0,4.373820612123032,5.708069820857212,589.358030224355,90.19101237691027,27.150418239830778
3.4266666666666667,3.83,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.44,3.713333333333333,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
2.8433333333333333,4.986666666666666,407.0,1659.0,4.2622232573059975,5.684525032661115,598.5316842266509,88.07822571784035,28.122015014475902
2.8466666666666667,5.006666666666666,667.8333333333334,1659.0,5.587851088494277,5.734579497368129,522.7361788538259,88.068637297293,29.443191446966058
2.78,5.02,926.9,1659.0,6.42750397421089,5.783218326186456,490.2887940938775,84.9073895061071,31.178297348638615
2.67,4.983333333333333,1115.0,1659.0,6.250824177662119,5.795978491160741,371.46568714119155,85.89520153617369,30.245223605854477
2.85,4.966666666666667,1222.6333333333334,1659.0,6.341513189165888,5.793760196376351,312.0759128849052,86.23780337309132,29.247937853050786
3.0900000000000003,4.913333333333333,1325.6333333333334,1659.0,6.327936781656683,5.844533821921611,359.8433792896105,92.53113765366433,22.486306033348747
3.12,4.8133333333333335,1362.4333333333334,1659.0,6.285931338921641,5.858668351836142,364.56081518704633,94.81634124682674,20.70979235813507
3.1266666666666665,4.793333333333333,1380.7666666666669,1659.0,6.161988861812398,5.890625827767522,395.4989237208379,93.05974743520969,18.349714438536534
3.15,4.703333333333333,1382.0,1659.0,6.161988861812398,5.890625827767522,395.4989237208379,93.05974743520969,18.34971443853653
3.2,4.633333333333334,1382.0,1659.0,6.135799448582702,5.895002530390196,408.6280586616162,93.1599767602943,18.184446249027225
3.46,3.683333333333333,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.2100000000000004,4.543333333333333,1382.0,1659.0,6.110846211469299,5.90137881904999,420.06104835233793,93.81384959534584,18.017621506759188
3.253333333333333,4.41,1382.0,1659.0,6.090402364067552,5.906491828626629,428.7571496658551,94.04996563323375,17.951135400735847
3.2766666666666664,4.253333333333333,1382.0,1659.0,6.090402364067552,5.906491828626628,428.7571496658551,94.04996563323375,17.951135400735843
3.2966666666666664,4.096666666666667,1197.7333333333331,1622.0666666666666,6.065160733821899,5.9364078290768045,429.83204283840206,91.61329604002682,17.68483996380282
3.4766666666666666,3.67,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.493333333333333,3.64,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.5,3.6,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.5,3.5966666666666667,0.0,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.5,3.6,10.233333333333333,1659.0,4.7053722137448615,5.710078737005981,439.3438422088017,88.14538392081276,17.818959038177415
3.3866666666666663,4.02,71.53333333333333,1659.0,4.060258121196334,5.629697139371337,564.1106010390698,88.92313186800752,24.59639660428103
3.036666666666666,4.946666666666667,199.5,1659.0,4.3557758989741115,5.670971374476006,572.5981211678943,88.54550439055181,25.511261741157035
3.3,3.933333333333333,0.0,1382.0,4.750510680739936,5.716648392178394,423.4532018147129,87.4167803818965,17.051469383005003
3.313333333333333,3.806666666666666,0.0,1382.0,4.750510680739936,5.716648392178394,423.4532018147129,87.4167803818965,17.051469383005003
3.3633333333333333,3.583333333333333,81.23333333333333,1382.0,4.408470213744861,5.663952650049459,457.51558133923635,87.87720376863885,19.006056864264373
2.8433333333333333,4.996666666666666,135.9,1382.0,4.408470213744861,5.663952650049459,457.51558133923635,87.87720376863884,19.006056864264373
2.89,4.836666666666667,182.33333333333331,1382.0,4.408470213744862,5.663952650049459,457.51558133923635,87.87720376863884,19.00605686426437
3.0,4.903333333333333,222.06666666666663,1382.0,4.408470213744862,5.663952650049459,457.51558133923635,87.87720376863885,19.006056864264373
3.176666666666667,4.933333333333334,252.36666666666667,1382.0,4.408470213744862,5.663952650049459,457.51558133923635,87.87720376863885,19.006056864264373
3.2,4.9,267.5,1382.0,4.408470213744861,5.663952650049459,457.51558133923635,87.87720376863884,19.006056864264373
3.2,4.846666666666667,272.06666666666666,1382.0,4.408470213744861,5.663952650049459,457.51558133923635,87.87720376863884,19.006056864264373
