,날짜,1회공급량,공급ec,공급ph,CO2,습도,광량,내부온도,상부온도
63,2021-11-25,94.28571428571429,2.9,6.1,415.32015065913373,95.10170075329567,8.617342605461394,14.953202448210922,14.575141148775895
64,2021-11-26,101.25,2.8499999999999996,6.01,405.7567152724482,92.79966500383729,47.86942950575595,17.097904297774367,16.70930537221796
65,2021-11-27,101.53846153846153,2.8499999999999996,6.199999999999999,490.1685393258427,92.63703539325843,0.008157662921348315,14.911358426966292,14.682891011235954
66,2021-11-27,101.53846153846153,2.8499999999999996,6.199999999999999,490.1685393258427,92.63703539325843,0.008157662921348315,14.911358426966292,14.682891011235954
67,2021-11-28,95.0,2.9,6.3,361.373599003736,93.45086924034868,64.03717345579078,17.38259178082192,16.85354396014944
68,2021-11-29,95.0,2.9,6.3,447.9600280504909,94.33829579242636,35.11909628611501,16.17460224403927,15.807793618513324
69,2021-11-30,100.0,2.9,6.1,519.0739549839228,96.53281511254019,0.008600819935691319,13.479632154340838,13.139630225080387
70,2021-12-01,80.0,2.9,6.2,207.80459770114942,94.57018505747128,87.0409908045977,15.248662068965515,14.896301149425287
71,2021-12-02,95.0,2.9,6.0,,,,,
72,2021-12-03,98.33333333333333,2.9,6.0,,,,,
73,2021-12-04,108.33333333333333,2.9,6.050000000000001,,,,,
74,2021-12-04,108.33333333333333,2.9,6.050000000000001,,,,,
75,2021-12-05,100.0,2.9,5.9,,,,,
76,2021-12-06,98.63636363636364,2.8499999999999996,6.0,404.65648050579557,93.68011538461538,51.126193990516335,16.164058061116965,15.80615468914647
77,2021-12-07,95.0,2.8,6.15,526.7791411042945,94.61057075664621,0.014951476482617587,13.485622085889572,13.24766952965235
78,2021-12-08,96.11111111111111,2.8499999999999996,6.0,,,,,
79,2021-12-09,98.33333333333333,2.8,6.05,363.4153543307087,96.32837421259843,1.1996228385826773,14.344337401574803,13.809980314960631
80,2021-12-11,95.71428571428571,2.8499999999999996,6.25,469.40444753300903,96.50050806115358,17.387805539263375,14.499886031966643,14.075592703266159
81,2021-12-11,95.71428571428571,2.8499999999999996,6.25,469.40444753300903,96.50050806115358,17.387805539263375,14.499886031966643,14.075592703266159
82,2021-12-10,100.0,2.9,6.0,476.4989010989011,96.41762219780219,10.898122083516483,14.259895457875459,13.808678901098899
83,2021-12-10,100.0,2.9,6.0,476.4989010989011,96.41762219780219,10.898122083516483,14.259895457875459,13.808678901098899
84,2021-12-12,93.33333333333333,2.9,6.2,417.9117028731605,94.88404323756133,29.131762419060966,14.451350525578135,14.04402354590049
85,2021-12-13,108.88888888888889,2.8499999999999996,6.15,408.36944444444447,92.54829576388889,50.247626243750005,14.578899097222221,14.207192361111112
86,2021-12-14,90.0,2.9,6.0,424.1730368311327,95.36168394718554,24.696282087560807,14.703290201528839,14.287786865879083
87,2021-12-15,116.25,2.9,6.2,437.32614742698195,96.39514777468706,10.912785436022252,14.310187065368567,13.835648956884562
88,2021-12-16,90.0,2.9,6.2,436.5967966573816,94.92636587743732,29.262484401810585,14.860426810584958,14.399022841225626
89,2021-12-17,87.5,2.9,6.0,377.968085106383,94.71854205673758,18.395215595035463,13.629650141843973,13.19638475177305
90,2021-12-18,94.44444444444444,2.9,5.9,373.6862464183381,93.49025308022922,25.090936313753584,13.660881948424068,13.2114329512894
91,2021-12-18,94.44444444444444,2.9,5.9,373.6862464183381,93.49025308022922,25.090936313753584,13.660881948424068,13.2114329512894
92,2021-12-19,87.5,2.9,6.0,389.78248783877694,93.4963276580959,30.729559218902015,14.930358165392635,14.431808130646282
93,2021-12-20,90.0,2.9,6.0,409.591382904795,94.78919054899235,27.440957341904102,15.090710562890898,14.634068658790827
94,2021-12-21,99.0,2.9,5.9,438.2227903579255,93.2701972972973,36.83763747772096,14.719824470416361,14.302983783783784
95,2021-12-22,97.22222222222223,2.9,6.0,428.43333333333334,89.446971875,54.97361281805556,15.609037152777779,15.181223888888889
