,날짜,설정EC(dS),현재EC(dS),설정PH(pH),현재PH(pH),현재일사(W),누적일사(J),J/Day,EC급액,pH급액,내부CO2,습도,평균온도
77,2021-11-28,2.6,2.962993197278912,4.8,4.648503401360545,123.99727891156462,547.3755102040816,1172.4183673469388,4.645628421495327,5.652689719626168,535.3532710280374,99.66149557943926,18.150504672897195
78,2021-11-29,2.6,2.970439189189189,4.8,4.542398648648649,152.9391891891892,419.5506756756757,1116.0,,,,,
79,2021-11-30,2.6,2.818610129564193,4.8,4.87055359246172,10.411071849234393,33.302709069493524,0.5064782096584217,,,,,
80,2021-12-01,2.6,2.7279166666666663,4.8,4.648611111111111,78.49583333333334,333.31944444444446,47.52777777777778,,,,,
81,2021-12-02,2.6,2.7936111111111113,4.8,4.559027777777778,92.45277777777778,138.7736111111111,691.9513888888889,,,,,
82,2021-12-03,2.6,2.839722222222222,4.8,4.65625,69.68888888888888,302.5027777777778,258.5208333333333,,,,,
83,2021-12-04,2.6,2.7983333333333333,4.8,4.227222222222222,48.50416666666667,223.24027777777778,617.6736111111111,,,,,
84,2021-12-05,2.6,2.7201360544217685,4.8,4.040680272108844,117.33469387755102,516.3931972789115,434.44897959183675,,,,,
85,2021-12-06,2.6,2.6055555555555556,4.8,4.034583333333334,106.84305555555555,459.68611111111113,1059.2083333333333,,,,,
86,2021-12-07,2.6941361256544503,2.7734031413612565,4.8,4.022146596858639,131.1806282722513,426.67539267015707,946.4764397905759,,,,,
87,2021-12-08,2.8,3.069583333333333,4.8,4.045833333333333,120.85694444444445,338.3333333333333,1029.798611111111,,,,,
88,2021-12-09,2.8,2.9409722222222223,4.8,4.008888888888889,73.62083333333334,318.1347222222222,4.465277777777778,,,,,
89,2021-12-10,2.8,2.885833333333333,4.8,3.94875,28.65972222222222,68.61805555555556,638.5347222222222,,,,,
90,2021-12-11,2.8,3.0568055555555556,4.8,3.965694444444444,93.96111111111111,252.18472222222223,0.0,,,,,
91,2021-12-12,2.8,3.100272108843537,4.8,3.996530612244898,53.10884353741496,141.2421768707483,0.0,,,,,
92,2021-12-13,2.8,2.9516666666666667,4.8,4.102083333333334,122.49861111111112,513.6722222222222,7.472222222222222,,,,,
93,2021-12-14,2.8,3.0819444444444444,4.8,4.10125,86.77361111111111,232.85694444444445,1068.5277777777778,,,,,
94,2021-12-15,2.8,3.0987372510927638,4.8,4.0890237979601745,119.23069451189897,457.330257406508,4.895580378824672,,,,,
95,2021-12-16,2.8,3.0224958949096883,4.8,3.9267651888341546,37.5944170771757,97.74220032840722,1003.2183908045977,,,,,
96,2021-12-17,2.8,2.9434722222222223,4.8,4.047361111111111,55.18194444444445,239.27083333333334,281.4166666666667,,,,,
97,2021-12-18,2.8,2.725,4.8,4.142222222222222,118.34166666666667,496.03055555555557,487.8611111111111,,,,,
98,2021-12-19,2.8,2.6843537414965986,4.8,4.088639455782313,70.79591836734694,189.3877551020408,1029.3877551020407,,,,,
99,2021-12-20,2.8,2.6894444444444443,4.8,4.047638888888889,63.93055555555556,268.23333333333335,3.951388888888889,,,,,
100,2021-12-21,2.8,2.73365,4.8,3.9978000000000002,87.2205,304.5435,569.6,,,,,
101,2021-12-22,2.8,2.9033333333333333,4.8,4.035833333333334,116.85833333333333,321.84305555555557,715.0055555555556,,,,,
102,2021-12-23,2.8,3.004166666666667,4.8,4.01375,108.28055555555555,455.34722222222223,5.333333333333333,,,,,
103,2021-12-24,2.8,2.846805555555556,4.8,4.047777777777778,86.69583333333334,373.6069444444444,958.9666666666667,,,,,
104,2021-12-25,2.8,2.6743055555555557,4.8,4.125277777777778,120.725,506.0777777777778,775.6277777777777,,,,,
105,2021-12-26,2.8,2.9942857142857147,4.8,4.169319727891156,118.86122448979592,515.1945578231292,1067.0163265306123,,,,,
106,2021-12-27,2.8,3.0804394426580917,4.8,4.188853161843515,112.45819935691318,369.33118971061094,1068.2540192926044,,,,,
107,2021-12-28,2.8,2.8519444444444444,4.8,3.92875,38.918055555555554,162.52916666666667,891.9111111111112,,,,,
108,2021-12-29,2.8,2.8737451737451734,4.8,3.2934362934362933,1.0,0.007722007722007722,339.0,,,,,
109,2021-12-31,2.8,3.026463700234192,4.8,4.391803278688524,192.53864168618267,859.2224824355972,751.1194379391101,,,,,
110,2022-01-01,2.8,3.037361111111111,4.8,4.012361111111111,113.5125,462.77916666666664,1080.5166666666667,,,,,
111,2022-01-02,2.8,2.9747222222222223,4.8,3.8631944444444444,67.63472222222222,179.11666666666667,988.4777777777778,,,,,
112,2022-01-03,2.8,3.010869565217391,4.8,3.7890269151138716,88.19565217391305,366.22463768115944,4.3146997929606625,,,,,
113,2022-01-04,2.8,3.0468055555555553,4.8,4.115694444444444,125.37777777777778,525.2347222222222,1042.3555555555556,,,,,
114,2022-01-05,2.8,2.958472222222222,4.8,4.204027777777778,63.141666666666666,265.14166666666665,1102.9333333333334,,,,,
115,2022-01-06,2.8,2.8875,4.8,4.288194444444445,123.54444444444445,511.0180555555556,556.9611111111111,,,,,
116,2022-01-07,2.8,2.7731944444444445,4.8,4.517083333333334,128.66944444444445,532.0805555555555,1087.25,,,,,
117,2022-01-08,2.8,3.0043055555555553,4.8,4.438055555555556,124.60555555555555,516.0402777777778,1131.8166666666666,,,,,
118,2022-01-09,2.8,3.1445333333333334,4.8,4.6044,80.40266666666666,346.64666666666665,1095.128,,,,,
119,2022-01-10,2.8,3.085206532180596,4.8,4.3275696445725265,94.70701248799232,338.5312199807877,737.4601344860711,,,,,
120,2022-01-11,2.8,3.1305555555555555,4.8,4.484999999999999,128.7097222222222,531.125,1040.6319444444443,,,,,
121,2022-01-12,2.8,2.9412500000000006,4.8,4.474444444444444,131.57916666666668,547.9125,1131.236111111111,,,,,
122,2022-01-13,2.8,2.6516690856313496,4.8,4.507692307692308,81.99129172714079,389.2641509433962,1162.6560232220609,,,,,
123,2022-01-14,2.8,2.8433333333333333,4.8,4.655138888888889,133.43194444444444,548.95,844.3055555555555,,,,,
124,2022-01-15,2.8,2.981666666666667,4.8,4.863888888888889,117.1986111111111,202.21805555555557,1168.5347222222222,,,,,
125,2022-01-16,2.8,3.0933333333333333,4.8,4.7356,108.42133333333334,460.6813333333333,395.12,,,,,
126,2022-01-17,2.8,3.042083333333333,4.8,4.560694444444445,61.08888888888889,256.2763888888889,992.7430555555555,,,,,
127,2022-01-18,2.8,2.9424200278164117,4.8,4.610013908205842,138.26703755215578,571.3949930458971,530.8664812239222,,,,,
128,2022-01-19,2.8,2.9355555555555553,4.8,4.508472222222222,112.55833333333334,482.5736111111111,1220.75,,,,,
129,2022-01-20,2.8,2.877638888888889,4.8,4.264722222222222,137.45833333333334,565.4361111111111,998.2,,,,,
130,2022-01-21,2.8,2.854861111111111,4.8,4.264166666666666,133.22083333333333,555.6625,1212.8222222222223,,,,,
131,2022-01-22,2.8,2.8520833333333333,4.8,4.016805555555555,62.15277777777778,256.35277777777776,1177.4444444444443,,,,,
132,2022-01-23,2.8,2.930416666666667,4.8,3.9468055555555552,74.50138888888888,317.8041666666667,541.6444444444444,,,,,
133,2022-01-24,2.8,2.923194444444444,4.8,4.0976388888888895,61.51111111111111,262.4458333333333,656.3666666666667,,,,,
134,2022-01-25,2.8,2.9279630943931867,4.8,3.9336408800567777,35.56706884315117,57.82256919801277,541.7707594038325,,,,,
135,2022-01-26,2.8,3.1640277777777777,4.8,3.9440277777777775,114.97083333333333,478.3208333333333,114.9888888888889,,,,,
136,2022-01-27,2.8,3.090138888888889,4.8,3.9944444444444445,141.73194444444445,585.1236111111111,1009.3777777777777,,,,,
137,2022-01-28,2.8,2.8673611111111112,4.8,4.110138888888889,146.8138888888889,603.9444444444445,1256.25,,,,,
138,2022-01-29,2.8,3.0216666666666665,4.8,4.142777777777778,139.20833333333334,564.8402777777778,1300.6166666666666,,,,,
139,2022-01-30,2.8,3.2095833333333337,4.8,4.130833333333333,152.28333333333333,630.1430555555555,1232.6888888888889,,,,,
140,2022-01-31,2.8,2.900972222222222,4.8,4.2652777777777775,154.74166666666667,637.8930555555555,1356.0777777777778,,,,,
141,2022-02-01,2.8,2.7563888888888886,4.8,4.35,64.47222222222223,188.16805555555555,1362.388888888889,,,,,
142,2022-02-02,2.8,2.854722222222222,4.8,4.257222222222222,118.55555555555556,478.45972222222224,5.816666666666666,,,,,
143,2022-02-03,2.8,2.940368271954674,4.8,4.289093484419263,158.20254957507083,653.0028328611897,1048.8753541076487,,,,,
144,2022-02-04,2.8,3.0518055555555557,4.8,4.178472222222222,110.47083333333333,444.57916666666665,1375.2222222222222,,,,,
145,2022-02-05,2.8,2.977222222222222,4.8,4.214444444444444,112.34444444444445,453.55833333333334,978.0,,,,,
146,2022-02-06,2.8,2.9720833333333334,4.8,4.138472222222222,85.98333333333333,347.59027777777777,976.4861111111111,,,,,
147,2022-02-07,2.8,2.9482242990654206,4.8,3.9940186915887854,120.77570093457943,244.46728971962617,760.0,,,,,
