time,EC급액,EC배액,pH급액,pH배액,저울급액,저울배액,온도토양,온도급액,온도배액,내부이산화탄소,내부광량,내부PT100온도센서1번건구,내부PT100온도센서2번습구,내부PT100온도센서3번,내부PT100센서를이용한계산습도
2021-11-11 18,2.8870319161676647,5.1706799401197605,6.247209580838324,5.827233532934132,8.075134580838323,1.1961303832335328,19.942739520958085,15.69124251497006,16.17252994011976,246.8622754491018,0.010390173652694611,16.546380179640718,15.247497964071856,14.096094610778442,92.03843550898203
2021-11-11 19,2.7993697902097905,5.002900769230769,6.329979020979021,5.843258741258741,8.04531313986014,1.192760853146853,18.469842657342657,14.388548951048952,14.728583916083917,274.7762237762238,0.0014488321678321678,15.581595244755244,14.5054772027972,13.68300986013986,93.31423972027972
2021-11-11 20,2.7850771328671327,4.94927034965035,6.404251748251748,5.85595104895105,8.020544482517483,1.1910774405594404,17.32867132867133,14.054632867132867,14.280594405594405,301.05594405594405,0.007063062937062938,15.603050979020978,14.586604335664335,13.902986573426574,93.67497783216783
2021-11-11 21,2.7586462585034015,4.910200952380952,6.427210884353741,5.85691156462585,7.998581380952381,1.188623925170068,16.395833333333332,13.703656462585034,13.90688775510204,323.2244897959184,0.02008408163265306,15.32877680272109,14.249130816326531,13.552396734693879,93.27995653061224
2021-11-11 22,2.7139743046357614,4.852669602649007,6.462099337748344,5.868543046357615,7.9745103973509925,1.1851763642384108,15.497930463576159,13.09975165562914,13.331125827814569,343.887417218543,0.010119039735099339,14.811306357615893,13.742319470198675,12.847202251655629,93.31901390728477
2021-11-11 23,2.6830604895104897,4.799993496503497,6.504797202797203,5.876608391608392,7.951643048951048,1.183103041958042,14.730332167832168,12.711101398601398,12.853146853146853,361.9300699300699,0.008874097902097903,14.45757951048951,13.434053216783218,12.746808321678321,93.5776572027972
2021-11-12 00,2.669535111111111,4.781838592592593,6.53805925925926,5.880274074074074,7.927371814814815,1.1814458592592594,14.040740740740741,12.526388888888889,12.685648148148148,379.27407407407406,0.0011510222222222222,14.326482518518517,13.260819925925928,12.314963259259258,93.31441718518518
2021-11-12 01,2.6536795302013423,4.759378120805369,6.568268456375839,5.882973154362416,7.906556315436241,1.1803714161073824,13.516778523489933,12.351090604026846,12.49496644295302,395.6442953020134,0.013383469798657718,14.147309060402685,13.138460604026845,12.507157852348994,93.65182140939598
2021-11-12 02,2.6493043790849673,4.759624836601308,6.594549019607843,5.88537908496732,7.881037647058823,1.1788247777777776,13.080473856209151,12.334558823529411,12.477124183006536,411.8627450980392,0.010494568627450981,14.17692202614379,13.154112810457516,12.331423594771241,93.56803379084968
2021-11-12 03,2.6432363513513515,4.748308243243244,6.6048243243243245,5.887148648648648,7.859373621621622,1.1776769256756758,12.722128378378379,12.25929054054054,12.400337837837839,427.5135135135135,0.016798635135135135,14.07806668918919,13.117941351351352,12.697850540540541,93.94666081081081
2021-11-12 04,2.6510349681528664,4.766694904458598,6.620904458598726,5.887261146496815,7.832574095541401,1.1761860318471338,12.492436305732484,12.414410828025478,12.517914012738853,439.81528662420385,0.016000611464968152,14.358357388535033,13.372664840764333,12.40663101910828,93.80325713375797
2021-11-12 05,2.648000205479452,4.76518102739726,6.634034246575342,5.88945205479452,7.808790219178083,1.1746066506849315,12.300085616438356,12.38484589041096,12.480736301369863,453.6986301369863,0.008691753424657535,14.290255547945204,13.299842739726026,12.468366164383562,93.7711345890411
2021-11-12 06,2.651507973856209,4.775017450980393,6.637281045751634,5.890039215686275,7.782555928104575,1.1732418954248367,12.161764705882353,12.471813725490197,12.558006535947712,468.640522875817,0.008463366013071894,14.49013248366013,13.51912522875817,12.927200718954248,93.89919725490196
2021-11-12 07,2.6687516783216783,4.807096713286714,6.646895104895105,5.883195804195805,7.756224692307693,1.1730087762237762,12.150786713286713,12.803758741258742,12.848776223776223,484.3006993006993,1.5225425104895105,15.014638111888111,14.098479510489511,13.844589370629372,94.25698216783216
2021-11-12 08,2.728094025974026,4.90851961038961,6.643415584415584,5.870811688311688,7.717233948051949,1.1737655324675325,12.415584415584416,13.783279220779221,13.726055194805195,473.0974025974026,24.52311688961039,16.939514545454543,15.989984675324676,16.046427597402595,94.13887967532467
2021-11-12 09,2.833914666666667,5.083508,6.35582962962963,5.86397037037037,8.028378103703703,1.1757023555555557,14.403703703703703,15.622685185185185,15.298148148148147,395.7111111111111,101.67377533333334,20.561178444444444,18.895718074074075,19.821225851851853,90.21028
2021-11-12 10,2.9579324731182797,5.326913333333334,6.076204301075268,5.830677419354839,8.270970537634408,1.1776162150537635,16.894489247311828,17.831317204301076,17.304435483870968,335.5698924731183,74.6563805376344,23.559459784946235,21.26103806451613,22.654315698924734,86.9695070967742
2021-11-25 11,2.9766905421686745,4.420331024096385,6.173397590361446,6.183487951807229,7.725841939759036,4.170275457831325,14.839231927710843,19.802710843373493,19.714231927710845,357.9879518072289,172.84595728915662,25.117467409638557,22.82572560240964,22.66915981927711,87.17438644578313
2021-11-25 12,3.02910275862069,4.612000827586208,6.109096551724138,6.161420689655172,7.693911268965517,4.689547172413793,16.92155172413793,21.969396551724138,21.994396551724137,337.6965517241379,175.19280220689657,28.71512979310345,25.41887627586207,27.747118827586206,82.41479572413793
2021-11-25 13,3.0315864814814812,4.668262654320988,6.098407407407407,6.171469135802469,7.694893370370371,5.033106895061729,18.959104938271604,23.742283950617285,23.64699074074074,308.179012345679,248.89520000000002,31.1470275308642,27.478407469135803,29.762905185185186,80.9634849382716
2021-11-25 14,3.0225804225352113,4.66755514084507,6.123267605633803,6.183978873239437,7.625981492957747,5.201992845070423,20.528609154929576,24.231954225352112,24.268485915492956,308.4577464788732,184.87246091549295,30.836039366197184,27.19253753521127,28.042660211267606,80.99847422535211
2021-11-25 15,3.096835859872612,4.64735152866242,6.00831847133758,6.188458598726115,7.6326598343949055,5.290321127388535,21.56329617834395,24.023885350318473,24.232085987261147,296.94267515923565,51.34694095541401,28.304340700636946,25.341929808917197,25.806363375796177,84.03563878980891
2021-11-25 16,3.011586328125,4.512817734375,6.044328125,6.2126953125,7.5215313671875,1.4414711015625,21.9541015625,22.3330078125,22.6162109375,304.609375,13.4936105625,24.119729453125,21.851508515625,20.845596171875002,87.180149140625
2021-11-25 17,2.796923722627737,4.217510218978102,6.113919708029197,6.236839416058394,7.465177394160584,1.0898817445255473,21.451642335766422,18.776459854014597,19.10903284671533,330.0729927007299,0.007372394160583942,19.511452773722628,17.693940583941608,16.14862284671533,89.25757262773722
2021-11-25 18,2.555025,3.8880126923076923,6.268938461538461,6.274738461538462,7.423110253846153,1.0699646538461538,19.947596153846153,14.81201923076923,15.236538461538462,354.9769230769231,0.0123513,15.533715461538462,14.122460153846154,12.678134076923076,91.313714
2021-11-25 19,2.4658530534351146,3.713525038167939,6.440847328244274,6.305320610687023,7.399322557251908,1.060260786259542,18.418416030534353,12.873091603053435,13.192748091603054,372.51145038167937,0.02609558778625954,13.738099312977099,12.615222366412214,11.49452854961832,92.93668297709924
2021-11-25 20,2.4407437579617834,3.630833757961783,6.502292993630573,6.32023566878981,7.3848204522293,1.0573746815286624,16.843550955414013,12.224124203821656,12.451035031847134,392.49044585987264,0.00857764331210191,13.63055566878981,12.692536560509554,12.50629025477707,94.06203006369427
2021-11-25 21,2.4576118064516126,3.6344524516129035,6.551729032258065,6.320432258064517,7.370617645161291,1.0543683677419355,15.625403225806451,12.416532258064516,12.558870967741935,411.7935483870968,0.0038429161290322584,14.123406645161289,13.18240535483871,12.735097483870968,94.0660406451613
2021-11-25 22,2.4490974125874128,3.6338440559440555,6.544496503496503,6.322853146853147,7.350716230769231,1.0514814895104896,14.716783216783217,12.356643356643357,12.501748251748252,428.8041958041958,0.016661573426573425,14.033562587412588,13.083763426573427,12.655048811188811,94.00799251748252
2021-11-25 23,2.4529457251908395,3.6429542748091603,6.5580152671755725,6.323908396946565,7.331502557251908,1.050415213740458,14.064885496183207,12.530534351145038,12.63692748091603,443.618320610687,0.018780908396946565,14.298165038167939,13.405323740458016,13.331264274809161,94.3692279389313
