,farm_id,number,date,numberOfFruitPerPlant,numberOfFruitPerTruss,fruitingNode
257,tom1,086,20210906,1,5,5
258,tom1,087,20210906,1,2,2
259,tom1,087,20210906,1,3,3
260,tom1,087,20210906,1,3,3
261,tom1,087,20210906,1,4,4
262,tom1,087,20210906,1,4,4
263,tom1,087,20210906,1,4,4
264,tom1,087,20210906,1,5,5
265,tom1,088,20210906,1,1,1
266,tom1,088,20210906,1,2,2
267,tom1,088,20210906,1,3,3
268,tom1,088,20210906,1,3,3
269,tom1,088,20210906,1,3,3
270,tom1,088,20210906,1,3,3
271,tom1,088,20210906,1,4,4
272,tom1,089,20210906,1,2,2
273,tom1,089,20210906,1,2,2
274,tom1,089,20210906,1,4,4
275,tom1,089,20210906,1,4,4
276,tom1,090,20210906,1,1,1
277,tom1,090,20210906,1,4,4
278,tom1,090,20210906,1,4,4
279,tom1,091,20210906,1,3,3
280,tom1,091,20210906,1,3,3
281,tom1,092,20210906,1,1,1
282,tom1,092,20210906,1,1,1
283,tom1,092,20210906,1,4,4
284,tom1,092,20210906,1,4,4
285,tom1,092,20210906,1,4,4
286,tom1,092,20210906,1,5,5
287,tom1,092,20210906,1,5,5
288,tom1,093,20210906,1,2,2
289,tom1,093,20210906,1,4,4
290,tom1,093,20210906,1,5,5
291,tom1,094,20210906,1,2,2
292,tom1,094,20210906,1,2,2
293,tom1,094,20210906,1,3,3
294,tom1,094,20210906,1,4,4
295,tom1,094,20210906,1,5,5
296,tom1,094,20210906,1,5,5
297,tom1,095,20210906,1,1,1
298,tom1,095,20210906,1,2,2
299,tom1,095,20210906,1,2,2
300,tom1,095,20210906,1,5,5
301,tom1,096,20210906,1,1,1
302,tom1,096,20210906,1,2,2
303,tom1,096,20210906,1,3,3
304,tom1,096,20210908,1,6,6
305,tom1,097,20210906,1,2,2
306,tom1,097,20210906,1,3,3
307,tom1,097,20210906,1,4,4
308,tom1,097,20210906,1,5,5
309,tom1,098,20210906,1,2,2
310,tom1,098,20210906,1,2,2
311,tom1,098,20210906,1,3,3
312,tom1,098,20210906,1,3,3
313,tom1,098,20210906,1,4,4
314,tom1,098,20210906,1,5,5
315,tom1,099,20210906,1,2,2
316,tom1,099,20210906,1,3,3
317,tom1,099,20210906,1,3,3
318,tom1,099,20210906,1,4,4
319,tom1,099,20210908,1,6,6
320,tom1,100,20210906,1,2,2
321,tom1,100,20210906,1,2,2
322,tom1,100,20210906,1,3,3
323,tom1,100,20210906,1,4,4
324,tom1,001,20210930,1,3,3
325,tom1,001,20210930,1,4,4
326,tom1,001,20210930,1,5,5
327,tom1,001,20210930,1,5,5
328,tom1,001,20210930,1,5,5
329,tom1,001,20210930,1,6,6
330,tom1,001,20210930,1,7,7
331,tom1,001,20210930,1,8,8
332,tom1,002,20210930,1,3,3
333,tom1,002,20210930,1,4,4
334,tom1,002,20210930,1,4,4
335,tom1,002,20210930,1,5,5
336,tom1,002,20210930,1,5,5
337,tom1,002,20210930,1,7,7
338,tom1,003,20210930,1,2,2
339,tom1,003,20210930,1,3,3
340,tom1,003,20210930,1,4,4
341,tom1,003,20210930,1,6,6
342,tom1,003,20210930,1,6,6
343,tom1,003,20210930,1,6,6
344,tom1,003,20210930,1,7,7
345,tom1,003,20210930,1,7,7
346,tom1,003,20210930,1,7,7
347,tom1,003,20210930,1,8,8
